code_nacres,designation,code_fournisseur,prix_ht,condt,nb_unites,prix_unitaire,marque,fournisseur,catalogue_date,page
,HEPES,H1504.0500,182.7,500 g,1,182.7,Duchefa Biochemie,DUCHEFA,2010-2012,107
,HEPES,H1504.1000,317.7,1 kg,1,317.7,Duchefa Biochemie,DUCHEFA,2010-2012,107
,Myo-Inositol,I0609.0100,24.1,100 g,1,24.1,Duchefa Biochemie,DUCHEFA,2010-2012,108
,Myo-Inositol,I0609.0250,48.0,250 g,1,48.0,Duchefa Biochemie,DUCHEFA,2010-2012,108
,Myo-Inositol,I0609.0500,77.8,500 g,1,77.8,Duchefa Biochemie,DUCHEFA,2010-2012,108
,Myo-Inositol,I0609.1000,120.3,1 kg,1,120.3,Duchefa Biochemie,DUCHEFA,2010-2012,108
,L-Isoleucine,I0711.0010,9.4,10 g,1,9.4,Duchefa Biochemie,DUCHEFA,2010-2012,109
,L-Isoleucine,I0711.0025,19.3,25 g,1,19.3,Duchefa Biochemie,DUCHEFA,2010-2012,109
,L-Isoleucine,I0711.0100,64.0,100 g,1,64.0,Duchefa Biochemie,DUCHEFA,2010-2012,109
,Indole-3-acetic acid (IAA),I0901.0005,11.6,5 g,1,11.6,Duchefa Biochemie,DUCHEFA,2010-2012,108
,Indole-3-acetic acid (IAA),I0901.0025,34.9,25 g,1,34.9,Duchefa Biochemie,DUCHEFA,2010-2012,108
,Indole-3-acetic acid (IAA),I0901.0100,140.5,100 g,1,140.5,Duchefa Biochemie,DUCHEFA,2010-2012,108
,Indole-3-butyric acid (IBA),I0902.0005,23.3,5 g,1,23.3,Duchefa Biochemie,DUCHEFA,2010-2012,108
,Indole-3-butyric acid (IBA),I0902.0025,63.2,25 g,1,63.2,Duchefa Biochemie,DUCHEFA,2010-2012,108
,IPTG,I1401.0001,15.9,1 g,1,15.9,Duchefa Biochemie,DUCHEFA,2010-2012,109
,IPTG,I1401.0005,47.4,5 g,1,47.4,Duchefa Biochemie,DUCHEFA,2010-2012,109
,IPTG,I1401.0025,183.5,25 g,1,183.5,Duchefa Biochemie,DUCHEFA,2010-2012,109
,Jasmonic acid,J0936.0250,74.1,250 mg,1,74.1,Duchefa Biochemie,DUCHEFA,2010-2012,109
,Kanamycine sulphate monohydrate,K0126.0001,4.7,1 g,1,4.7,Duchefa Biochemie,DUCHEFA,2010-2012,109
,Kanamycine sulphate monohydrate,K0126.0005,21.8,5 g,1,21.8,Duchefa Biochemie,DUCHEFA,2010-2012,109
,Kanamycine sulphate monohydrate,K0126.0010,40.2,10 g,1,40.2,Duchefa Biochemie,DUCHEFA,2010-2012,109
,Kanamycine sulphate monohydrate,K0126.0025,75.1,25 g,1,75.1,Duchefa Biochemie,DUCHEFA,2010-2012,109
,Kinetin,K0905.0001,16.2,1 g,1,16.2,Duchefa Biochemie,DUCHEFA,2010-2012,110
,Kinetin,K0905.0005,60.2,5 g,1,60.2,Duchefa Biochemie,DUCHEFA,2010-2012,110
,Kinetin,K0905.0025,268.7,25 g,1,268.7,Duchefa Biochemie,DUCHEFA,2010-2012,110
,Lincomycin HCl monohydrate,L0127.0005,83.3,5 g,1,83.3,Duchefa Biochemie,DUCHEFA,2010-2012,111
,L-Leucine,L0712.0100,19.3,100 g,1,19.3,Duchefa Biochemie,DUCHEFA,2010-2012,111
,L-Lysine HCl,L0714.0100,9.4,100 g,1,9.4,Duchefa Biochemie,DUCHEFA,2010-2012,111
,L-Lysine HCl,L0714.0500,33.8,500 g,1,33.8,Duchefa Biochemie,DUCHEFA,2010-2012,111
,Low Melting Agarose PPC,L1204.0100,302.1,100 g,1,302.1,Duchefa Biochemie,DUCHEFA,2010-2012,80
,Low Melting Agarose PPC,L1204.0250,711.5,250 g,1,711.5,Duchefa Biochemie,DUCHEFA,2010-2012,80
,D-Luciferin,L1349.0100,236.0,100 mg,1,236.0,Duchefa Biochemie,DUCHEFA,2010-2012,111
,D-Luciferin,L1349.0250,525.0,250 mg,1,525.0,Duchefa Biochemie,DUCHEFA,2010-2012,111
,D-Luciferin,L1349.0500,1004.9,500 mg,1,1004.9,Duchefa Biochemie,DUCHEFA,2010-2012,111
,D-Luciferin,L1349.1000,1780.1,1 g,1,1780.1,Duchefa Biochemie,DUCHEFA,2010-2012,111
,Lactose monohydrate,L1372.1000,12.1,1 kg,1,12.1,Duchefa Biochemie,DUCHEFA,2010-2012,110
,Lactose monohydrate,L1372.5000,43.4,5 kg,1,43.4,Duchefa Biochemie,DUCHEFA,2010-2012,110
,LB Broth Low salt,L1703.0100,7.9,100 g,1,7.9,Duchefa Biochemie,DUCHEFA,2010-2012,110
,LB Broth Low salt,L1703.0500,31.6,500 g,1,31.6,Duchefa Biochemie,DUCHEFA,2010-2012,110
,LB Broth Low salt,L1703.2500,138.8,2.5 kg,1,138.8,Duchefa Biochemie,DUCHEFA,2010-2012,110
,LB Broth High salt,L1704.0100,7.5,100 g,1,7.5,Duchefa Biochemie,DUCHEFA,2010-2012,110
,LB Broth High salt,L1704.0500,30.2,500 g,1,30.2,Duchefa Biochemie,DUCHEFA,2010-2012,110
,LB Broth High salt,L1704.2500,132.8,"2,5 kg",1,132.8,Duchefa Biochemie,DUCHEFA,2010-2012,110
,LB Agar Low salt,L1705.0100,10.0,100 g,1,10.0,Duchefa Biochemie,DUCHEFA,2010-2012,110
,LB Agar Low salt,L1705.0500,39.4,500 g,1,39.4,Duchefa Biochemie,DUCHEFA,2010-2012,110
,LB Agar Low salt,L1705.2500,183.2,"2,5 kg",1,183.2,Duchefa Biochemie,DUCHEFA,2010-2012,110
,LB Agar High salt,L1706.0100,10.0,100 g,1,10.0,Duchefa Biochemie,DUCHEFA,2010-2012,110
,LB Agar High salt,L1706.0500,39.4,500 g,1,39.4,Duchefa Biochemie,DUCHEFA,2010-2012,110
,LB Agar High salt,L1706.2500,183.2,"2,5 kg",1,183.2,Duchefa Biochemie,DUCHEFA,2010-2012,110
,Mercaptopurine monohydrate,M0129.0005,32.9,5 g,1,32.9,Duchefa Biochemie,DUCHEFA,2010-2012,114
,Methotrexate,M0130.0001,83.3,1 g,1,83.3,Duchefa Biochemie,DUCHEFA,2010-2012,115
,Metronidazole,M0131.0025,31.5,25 g,1,31.5,Duchefa Biochemie,DUCHEFA,2010-2012,115
,Metronidazole,M0131.0100,82.5,100 g,1,82.5,Duchefa Biochemie,DUCHEFA,2010-2012,115
,Miconazole nitrate,M0132.0001,7.1,1 g,1,7.1,Duchefa Biochemie,DUCHEFA,2010-2012,116
,Miconazole nitrate,M0132.0005,25.7,5 g,1,25.7,Duchefa Biochemie,DUCHEFA,2010-2012,116
,Neomycin sulphate,M0135.0025,17.2,25 g,1,17.2,Duchefa Biochemie,DUCHEFA,2010-2012,118
,Neomycin sulphate,M0135.0100,62.7,100 g,1,62.7,Duchefa Biochemie,DUCHEFA,2010-2012,118
,Minocycline HCl,M0172.0001,130.8,1 g,1,130.8,Duchefa Biochemie,DUCHEFA,2010-2012,116
,Magnesium sulphate heptahydrate,M0513.1000,11.9,1 kg,1,11.9,Duchefa Biochemie,DUCHEFA,2010-2012,112
,Magnesium sulphate heptahydrate,M0513.5000,33.4,5 kg,1,33.4,Duchefa Biochemie,DUCHEFA,2010-2012,112
,Manganese sulphate monohydrate,M0514.0250,11.1,250 g,1,11.1,Duchefa Biochemie,DUCHEFA,2010-2012,113
,Manganese sulphate monohydrate,M0514.0500,18.6,500 g,1,18.6,Duchefa Biochemie,DUCHEFA,2010-2012,113
,Manganese sulphate monohydrate,M0514.1000,31.8,1 kg,1,31.8,Duchefa Biochemie,DUCHEFA,2010-2012,113
,Magnesium chloride hexahydrate,M0533.1000,12.3,1 kg,1,12.3,Duchefa Biochemie,DUCHEFA,2010-2012,112
,L-Methionine,M0715.0100,22.8,100 g,1,22.8,Duchefa Biochemie,DUCHEFA,2010-2012,114
,D-Mannitol,M0803.1000,22.8,1 kg,1,22.8,Duchefa Biochemie,DUCHEFA,2010-2012,113
,D-Mannitol,M0803.5000,89.5,5 kg,1,89.5,Duchefa Biochemie,DUCHEFA,2010-2012,113
,Maltose monohydrate,M0811.0250,21.8,250 g,1,21.8,Duchefa Biochemie,DUCHEFA,2010-2012,113
,Maltose monohydrate,M0811.0500,36.4,500 g,1,36.4,Duchefa Biochemie,DUCHEFA,2010-2012,113
,Maltose monohydrate,M0811.1000,68.3,1 kg,1,68.3,Duchefa Biochemie,DUCHEFA,2010-2012,113
,Maltose monohydrate,M0811.5000,328.3,5 kg,1,328.3,Duchefa Biochemie,DUCHEFA,2010-2012,113
,Methyl jasmonate,M0918.0001,47.7,1 ml,1,47.7,Duchefa Biochemie,DUCHEFA,2010-2012,115
,Maleic hydrazide,M0921.0100,47.5,100 g,1,47.5,Duchefa Biochemie,DUCHEFA,2010-2012,112
,Micro agar,M1002.1000,99.5,1 kg,1,99.5,Duchefa Biochemie,DUCHEFA,2010-2012,79
,Micro agar,M1002.5000,471.6,5 kg,1,471.6,Duchefa Biochemie,DUCHEFA,2010-2012,79
,Micro agar,M1002.9025,2115.9,25 kg,1,2115.9,Duchefa Biochemie,DUCHEFA,2010-2012,79
,Malic acid,M1315.1000,19.6,1 kg,1,19.6,Duchefa Biochemie,DUCHEFA,2010-2012,112
,Malt extract,M1327.0100,7.4,100 g,1,7.4,Duchefa Biochemie,DUCHEFA,2010-2012,113
,Malt extract,M1327.0500,26.2,500 g,1,26.2,Duchefa Biochemie,DUCHEFA,2010-2012,113
,D-Mannose,M1392.0100,33.0,100 g,1,33.0,Duchefa Biochemie,DUCHEFA,2010-2012,114
,D-Mannose,M1392.0500,153.8,500 g,1,153.8,Duchefa Biochemie,DUCHEFA,2010-2012,114
,D-Mannose,M1392.1000,253.8,1 kg,1,253.8,Duchefa Biochemie,DUCHEFA,2010-2012,114
,MUG trihydrate,M1404.0100,25.7,100 mg,1,25.7,Duchefa Biochemie,DUCHEFA,2010-2012,115
,MUG trihydrate,M1404.1000,89.4,1 g,1,89.4,Duchefa Biochemie,DUCHEFA,2010-2012,115
,Magenta-GlcA cyclohexylammonium salt,M1412.0010,76.1,100 mg,1,76.1,Duchefa Biochemie,DUCHEFA,2010-2012,88
,Magenta-GlcA cyclohexylammonium salt,M1412.0100,724.4,1 g,1,724.4,Duchefa Biochemie,DUCHEFA,2010-2012,88
,MTT,M1415.0001,22.1,1 g,1,22.1,Duchefa Biochemie,DUCHEFA,2010-2012,117
,MTT,M1415.0005,76.2,5 g,1,76.2,Duchefa Biochemie,DUCHEFA,2010-2012,117
,MTT,M1415.0025,284.7,25 g,1,284.7,Duchefa Biochemie,DUCHEFA,2010-2012,117
,MOPS,M1502.0025,13.2,25 g,1,13.2,Duchefa Biochemie,DUCHEFA,2010-2012,116
,MOPS,M1502.0100,30.4,100 g,1,30.4,Duchefa Biochemie,DUCHEFA,2010-2012,116
,MOPS,M1502.0250,70.7,250 g,1,70.7,Duchefa Biochemie,DUCHEFA,2010-2012,116
,MOPS,M1502.1000,237.6,1 kg,1,237.6,Duchefa Biochemie,DUCHEFA,2010-2012,116
,MES monohydrate,M1503.0025,10.7,25 g,1,10.7,Duchefa Biochemie,DUCHEFA,2010-2012,114
,MES monohydrate,M1503.0100,28.9,100 g,1,28.9,Duchefa Biochemie,DUCHEFA,2010-2012,114
,MES monohydrate,M1503.0250,70.6,250 g,1,70.6,Duchefa Biochemie,DUCHEFA,2010-2012,114
,MES monohydrate,M1503.1000,270.2,1 kg,1,270.2,Duchefa Biochemie,DUCHEFA,2010-2012,114
,Macerozyme R-10,M8002.0001,11.6,1 g,1,11.6,Duchefa Biochemie,DUCHEFA,2010-2012,112
,Macerozyme R-10,M8002.0005,47.3,5 g,1,47.3,Duchefa Biochemie,DUCHEFA,2010-2012,112
,Macerozyme R-10,M8002.0010,77.8,10 g,1,77.8,Duchefa Biochemie,DUCHEFA,2010-2012,112
,Nalidixic acid,N0134.0005,10.0,5 g,1,10.0,Duchefa Biochemie,DUCHEFA,2010-2012,117
,Nalidixic acid,N0134.0025,29.9,25 g,1,29.9,Duchefa Biochemie,DUCHEFA,2010-2012,117
,Nystatine,N0138.0005,21.7,5 g,1,21.7,Duchefa Biochemie,DUCHEFA,2010-2012,120
,Nystatine,N0138.0010,37.3,10 g,1,37.3,Duchefa Biochemie,DUCHEFA,2010-2012,120
,Nystatine,N0138.0025,73.8,25 g,1,73.8,Duchefa Biochemie,DUCHEFA,2010-2012,120
,Nicotinamide,N0610.0100,8.7,100 g,1,8.7,Duchefa Biochemie,DUCHEFA,2010-2012,118
,Nicotinamide,N0610.0250,18.2,250 g,1,18.2,Duchefa Biochemie,DUCHEFA,2010-2012,118
,Nicotinic acid,N0611.0100,8.9,100 g,1,8.9,Duchefa Biochemie,DUCHEFA,2010-2012,119
,Nicotinic acid,N0611.0250,18.2,250 g,1,18.2,Duchefa Biochemie,DUCHEFA,2010-2012,119
,Nicotinic acid,N0611.0500,27.5,500 g,1,27.5,Duchefa Biochemie,DUCHEFA,2010-2012,119
,a-naphtalene acetic acid,N0903.0025,10.2,25 g,1,10.2,Duchefa Biochemie,DUCHEFA,2010-2012,117
,a-naphtalene acetic acid,N0903.0050,15.8,50 g,1,15.8,Duchefa Biochemie,DUCHEFA,2010-2012,117
,a-naphtalene acetic acid,N0903.0100,21.8,100 g,1,21.8,Duchefa Biochemie,DUCHEFA,2010-2012,117
,b-Naphtoxyacetic acid,N0912.0025,8.3,25 g,1,8.3,Duchefa Biochemie,DUCHEFA,2010-2012,117
,b-Naphtoxyacetic acid,N0912.0500,66.3,500 g,1,66.3,Duchefa Biochemie,DUCHEFA,2010-2012,117
,Naphthylphtalamic acid,N0926.0250,149.5,250 mg,1,149.5,Duchefa Biochemie,DUCHEFA,2010-2012,118
,Naphtylphosphate sodium monohydrate,N1350.0001,7.0,1 g,1,7.0,Duchefa Biochemie,DUCHEFA,2010-2012,118
,Naphtylphosphate sodium monohydrate,N1350.0005,27.5,5 g,1,27.5,Duchefa Biochemie,DUCHEFA,2010-2012,118
,p-Nitrophenyl-b-D-glucuronide,N1408.0250,24.5,250 mg,1,24.5,Duchefa Biochemie,DUCHEFA,2010-2012,119
,p-Nitrophenyl-b-D-glucuronide,N1408.1000,79.1,1 g,1,79.1,Duchefa Biochemie,DUCHEFA,2010-2012,119
,Nitro Blue Tetrazolium (NBT),N1411.0100,13.8,100 mg,1,13.8,Duchefa Biochemie,DUCHEFA,2010-2012,119
,Nitro Blue Tetrazolium (NBT),N1411.1000,46.0,1 g,1,46.0,Duchefa Biochemie,DUCHEFA,2010-2012,119
,Oxytetracycline HCl,O0140.0005,8.9,5 g,1,8.9,Duchefa Biochemie,DUCHEFA,2010-2012,120
,Oxytetracycline HCl,O0140.0025,34.9,25 g,1,34.9,Duchefa Biochemie,DUCHEFA,2010-2012,120
,Oryzaline,O1318.1000,51.3,1 g,1,51.3,Duchefa Biochemie,DUCHEFA,2010-2012,120
,L-Ornithine HCl,O1351.0025,11.1,25 g,1,11.1,Duchefa Biochemie,DUCHEFA,2010-2012,120
,L-Ornithine HCl,O1351.0100,34.9,100 g,1,34.9,Duchefa Biochemie,DUCHEFA,2010-2012,120
,L-Ornithine HCl,O1351.0500,139.5,500 g,1,139.5,Duchefa Biochemie,DUCHEFA,2010-2012,120
,Nitrophenyl-b-D-galactopyranoside,O1409.0005,29.7,5 g,1,29.7,Duchefa Biochemie,DUCHEFA,2010-2012,119
,Nitrophenyl-b-D-galactopyranoside,O1409.0025,113.4,25 g,1,113.4,Duchefa Biochemie,DUCHEFA,2010-2012,119
,Paromomycin sulphate,P0141.0001,10.1,1 g,1,10.1,Duchefa Biochemie,DUCHEFA,2010-2012,121
,Paromomycin sulphate,P0141.0005,39.8,5 g,1,39.8,Duchefa Biochemie,DUCHEFA,2010-2012,121
,Paromomycin sulphate,P0141.0025,124.2,25 g,1,124.2,Duchefa Biochemie,DUCHEFA,2010-2012,121
,Penicillin G sodium,P0142.0005,5.3,5 g,1,5.3,Duchefa Biochemie,DUCHEFA,2010-2012,122
,Penicillin G sodium,P0142.0025,8.4,25 g,1,8.4,Duchefa Biochemie,DUCHEFA,2010-2012,122
,Penicillin G sodium,P0142.0100,27.9,100 g,1,27.9,Duchefa Biochemie,DUCHEFA,2010-2012,122
,Polymixine B sulphate,P0145.0001,21.1,1 g,1,21.1,Duchefa Biochemie,DUCHEFA,2010-2012,124
,Polymixine B sulphate,P0145.0005,83.8,5 g,1,83.8,Duchefa Biochemie,DUCHEFA,2010-2012,124
,Phosphinotricin,P0159.0250,84.5,250 mg,1,84.5,Duchefa Biochemie,DUCHEFA,2010-2012,123
,Phosphinotricin,P0159.1000,296.1,1 g,1,296.1,Duchefa Biochemie,DUCHEFA,2010-2012,123
,Phleomycin,P0187.0100,161.5,100 mg,1,161.5,Duchefa Biochemie,DUCHEFA,2010-2012,123
,Phleomycin,P0187.0250,358.9,250 mg,1,358.9,Duchefa Biochemie,DUCHEFA,2010-2012,123
,Potassium chloride,P0515.1000,12.9,1 kg,1,12.9,Duchefa Biochemie,DUCHEFA,2010-2012,125
,Potassium hydroxide,P0517.0500,14.7,500 g,1,14.7,Duchefa Biochemie,DUCHEFA,2010-2012,125
,Potassium hydroxide,P0517.1000,20.1,1 kg,1,20.1,Duchefa Biochemie,DUCHEFA,2010-2012,125
,Potassium iodide,P0518.0100,14.6,100 g,1,14.6,Duchefa Biochemie,DUCHEFA,2010-2012,126
,Potassium nitrate,P0519.1000,14.0,1 kg,1,14.0,Duchefa Biochemie,DUCHEFA,2010-2012,126
,Potassium nitrate,P0519.5000,57.0,5 kg,1,57.0,Duchefa Biochemie,DUCHEFA,2010-2012,126
,Potassium nitrate,P0519.9025,222.4,25 kg,1,222.4,Duchefa Biochemie,DUCHEFA,2010-2012,126
,Potassium sulphate,P0535.1000,16.4,1 kg,1,16.4,Duchefa Biochemie,DUCHEFA,2010-2012,126
,Potassium sulphate,P0535.5000,65.0,5 kg,1,65.0,Duchefa Biochemie,DUCHEFA,2010-2012,126
,di-Potassium hydrogen phosphate,P0573.1000,26.4,1 kg,1,26.4,Duchefa Biochemie,DUCHEFA,2010-2012,125
,di-Potassium hydrogen phosphate,P0573.5000,113.7,5 kg,1,113.7,Duchefa Biochemie,DUCHEFA,2010-2012,125
,Potassium dihydrogen phosphate,P0574.1000,17.8,1 kg,1,17.8,Duchefa Biochemie,DUCHEFA,2010-2012,125
,Potassium dihydrogen phosphate,P0574.5000,70.1,5 kg,1,70.1,Duchefa Biochemie,DUCHEFA,2010-2012,125
,Pyridoxine HCl,P0612.0050,15.6,50 g,1,15.6,Duchefa Biochemie,DUCHEFA,2010-2012,127
,Pyridoxine HCl,P0612.0100,22.1,100 g,1,22.1,Duchefa Biochemie,DUCHEFA,2010-2012,127
,Pyridoxine HCl,P0612.0250,45.0,250 g,1,45.0,Duchefa Biochemie,DUCHEFA,2010-2012,127
,L-Phenylalanine,P0716.0100,24.5,100 g,1,24.5,Duchefa Biochemie,DUCHEFA,2010-2012,122
,L-Phenylalanine,P0716.0500,90.1,500 g,1,90.1,Duchefa Biochemie,DUCHEFA,2010-2012,122
,L-Proline,P0717.0025,12.6,25 g,1,12.6,Duchefa Biochemie,DUCHEFA,2010-2012,126
,L-Proline,P0717.0100,27.2,100 g,1,27.2,Duchefa Biochemie,DUCHEFA,2010-2012,126
,L-Proline,P0717.0500,109.1,500 g,1,109.1,Duchefa Biochemie,DUCHEFA,2010-2012,126
,Polyethylene Glycol 4000,P0804.1000,14.6,1 kg,1,14.6,Duchefa Biochemie,DUCHEFA,2010-2012,124
,Polyethylene Glycol 4000,P0804.5000,57.6,5 kg,1,57.6,Duchefa Biochemie,DUCHEFA,2010-2012,124
,Polyethylene Glycol 6000,P0805.1000,12.6,1 kg,1,12.6,Duchefa Biochemie,DUCHEFA,2010-2012,124
,Polyethylene Glycol 6000,P0805.5000,50.0,5 kg,1,50.0,Duchefa Biochemie,DUCHEFA,2010-2012,124
,Polyethylene Glycol 400,P0813.1000,12.6,1 kg,1,12.6,Duchefa Biochemie,DUCHEFA,2010-2012,124
,Polyethylene Glycol 400,P0813.5000,52.5,5 kg,1,52.5,Duchefa Biochemie,DUCHEFA,2010-2012,124
,Picloram,P0914.0005,20.4,5 g,1,20.4,Duchefa Biochemie,DUCHEFA,2010-2012,123
,Picloram,P0914.0010,33.8,10 g,1,33.8,Duchefa Biochemie,DUCHEFA,2010-2012,123
,Picloram,P0914.0050,115.6,50 g,1,115.6,Duchefa Biochemie,DUCHEFA,2010-2012,123
,Paclobutrazol,P0922.0500,37.9,500 mg,1,37.9,Duchefa Biochemie,DUCHEFA,2010-2012,121
,Paclobutrazol,P0922.1000,67.8,1 g,1,67.8,Duchefa Biochemie,DUCHEFA,2010-2012,121
,Putrescine HCl,P0927.0001,8.7,1 g,1,8.7,Duchefa Biochemie,DUCHEFA,2010-2012,126
,Putrescine HCl,P0927.0005,18.1,5 g,1,18.1,Duchefa Biochemie,DUCHEFA,2010-2012,126
,Putrescine HCl,P0927.0025,62.5,25 g,1,62.5,Duchefa Biochemie,DUCHEFA,2010-2012,126
,Plant agar,P1001.1000,77.8,1 kg,1,77.8,Duchefa Biochemie,DUCHEFA,2010-2012,79
,Plant agar,P1001.5000,375.3,5 kg,1,375.3,Duchefa Biochemie,DUCHEFA,2010-2012,79
,Plant agar,P1001.9025,1772.2,25 kg,1,1772.2,Duchefa Biochemie,DUCHEFA,2010-2012,79
,Phyto agar,P1003.1000,89.9,1 kg,1,89.9,Duchefa Biochemie,DUCHEFA,2010-2012,79
,Phyto agar,P1003.5000,427.5,5 kg,1,427.5,Duchefa Biochemie,DUCHEFA,2010-2012,79
,Peptone,P1328.0100,11.2,100 g,1,11.2,Duchefa Biochemie,DUCHEFA,2010-2012,122
,Peptone,P1328.0500,54.1,500 g,1,54.1,Duchefa Biochemie,DUCHEFA,2010-2012,122
