code_nacres,designation,code_fournisseur,prix_ht,condt,nb_unites,prix_unitaire,marque,fournisseur,catalogue_date,page
,Thidiazuron,T0916.0500,143.3,500 mg,1,143.3,Duchefa Biochemie,DUCHEFA,2010-2012,134
,Thidiazuron,T0916.1000,243.6,1 g,1,243.6,Duchefa Biochemie,DUCHEFA,2010-2012,134
,Trifluralin,T0928.0250,68.6,250 mg,1,68.6,Duchefa Biochemie,DUCHEFA,2010-2012,136
,",3,5-Triiodobenzoic acid",T0929.0005,25.0,5 g,1,25.0,Duchefa Biochemie,DUCHEFA,2010-2012,136
,",3,5-Triiodobenzoic acid",T0929.0010,45.2,10 g,1,45.2,Duchefa Biochemie,DUCHEFA,2010-2012,136
,meta-Topoline,T0941.0100,19.5,100 mg,1,19.5,Duchefa Biochemie,DUCHEFA,2010-2012,135
,meta-Topoline,T0941.0500,75.1,500 mg,1,75.1,Duchefa Biochemie,DUCHEFA,2010-2012,135
,meta-Topoline,T0941.1000,112.9,1 g,1,112.9,Duchefa Biochemie,DUCHEFA,2010-2012,135
,meta-Topoline,T0941.5000,440.4,5 g,1,440.4,Duchefa Biochemie,DUCHEFA,2010-2012,135
,Tryptone,T1332.0100,9.4,100 g,1,9.4,Duchefa Biochemie,DUCHEFA,2010-2012,137
,Tryptone,T1332.0500,46.3,500 g,1,46.3,Duchefa Biochemie,DUCHEFA,2010-2012,137
,Tryptone,T1332.1000,82.0,1 kg,1,82.0,Duchefa Biochemie,DUCHEFA,2010-2012,137
,Talc,T1359.1000,8.7,1 kg,1,8.7,Duchefa Biochemie,DUCHEFA,2010-2012,132
,Talc,T1359.5000,34.9,5 kg,1,34.9,Duchefa Biochemie,DUCHEFA,2010-2012,132
,Taurine,T1360.0100,8.9,100 g,1,8.9,Duchefa Biochemie,DUCHEFA,2010-2012,133
,Triethanolamine,T1361.0500,22.1,500 ml,1,22.1,Duchefa Biochemie,DUCHEFA,2010-2012,136
,Trehalose Anhydrous,T1395.0002,25.0,25 g,1,25.0,Duchefa Biochemie,DUCHEFA,2010-2012,135
,Trehalose Anhydrous,T1395.0010,83.2,100 g,1,83.2,Duchefa Biochemie,DUCHEFA,2010-2012,135
,Trehalose Anhydrous,T1395.0025,358.8,500 g,1,358.8,Duchefa Biochemie,DUCHEFA,2010-2012,135
,TRIS ultrapure,T1501.1000,39.7,1 kg,1,39.7,Duchefa Biochemie,DUCHEFA,2010-2012,137
,TRIS ultrapure,T1501.5000,192.2,5 kg,1,192.2,Duchefa Biochemie,DUCHEFA,2010-2012,137
,TRIS ultrapure,T1501.9010,372.6,10 kg,1,372.6,Duchefa Biochemie,DUCHEFA,2010-2012,137
,TRIS ultrapure,T1501.9025,887.9,25 kg,1,887.9,Duchefa Biochemie,DUCHEFA,2010-2012,137
,TBE buffer,T1507.0010,7.7,170.2 g,1,7.7,Duchefa Biochemie,DUCHEFA,2010-2012,133
,TBE buffer,T1507.0100,76.1,1702.0 g,1,76.1,Duchefa Biochemie,DUCHEFA,2010-2012,133
,TE-buffer,T1508.0100,7.5,158.35 g,1,7.5,Duchefa Biochemie,DUCHEFA,2010-2012,133
,TE-buffer,T1508.1000,66.2,1583.5 g,1,66.2,Duchefa Biochemie,DUCHEFA,2010-2012,133
,TRIS HCl,T1513.0100,13.2,100 g,1,13.2,Duchefa Biochemie,DUCHEFA,2010-2012,137
,TRIS HCl,T1513.0250,28.3,250 g,1,28.3,Duchefa Biochemie,DUCHEFA,2010-2012,137
,TRIS HCl,T1513.0500,50.0,500 g,1,50.0,Duchefa Biochemie,DUCHEFA,2010-2012,137
,TRIS HCl,T1513.1000,91.4,1 kg,1,91.4,Duchefa Biochemie,DUCHEFA,2010-2012,137
,Urea,U1363.1000,10.6,1 kg,1,10.6,Duchefa Biochemie,DUCHEFA,2010-2012,138
,Urea,U1363.5000,43.2,5 kg,1,43.2,Duchefa Biochemie,DUCHEFA,2010-2012,138
,Vancomycin HCl,V0155.0001,49.9,1 g,1,49.9,Duchefa Biochemie,DUCHEFA,2010-2012,138
,Vancomycin HCl,V0155.0005,197.0,5 g,1,197.0,Duchefa Biochemie,DUCHEFA,2010-2012,138
,Vancomycin HCl,V0155.0025,837.1,25 g,1,837.1,Duchefa Biochemie,DUCHEFA,2010-2012,138
,Validamycin A,V0170.0001,32.1,1 g,1,32.1,Duchefa Biochemie,DUCHEFA,2010-2012,138
,L-Valine,V0722.0100,20.4,100 g,1,20.4,Duchefa Biochemie,DUCHEFA,2010-2012,138
,L-Valine,V0722.0500,64.0,500 g,1,64.0,Duchefa Biochemie,DUCHEFA,2010-2012,138
