type,action,index_source,consommable,marque,reference,code_nacres,ancien_prix_conditionnement,ancien_prix_ht_ijm,code_ijm,score_match
solide,catalogue_ijm_ligne_separee,,SUR-CHAUSSURE ANTI-DERAPANTES (Au carton),,HS024,HA02,,50.94,HS024,
solide,catalogue_ijm_ligne_separee,,CHARLOTTE CLIP BLANC (x100),,E0551,HA02,,6.58,E0551,
solide,catalogue_ijm_ligne_separee,,BLOUSE MIXTE BLANCHE Taille 0 Logo IJM,,HS007,HA03,,25.15,HS007,
solide,catalogue_ijm_ligne_separee,,BLOUSE MIXTE BLANCHE Taille 1 Logo IJM,,HS008,HA03,,25.15,HS008,
solide,catalogue_ijm_ligne_separee,,BLOUSE MIXTE BLANCHE Taille 2 Logo IJM,,E009,HA03,,25.15,E009,
solide,catalogue_ijm_ligne_separee,,BLOUSE MIXTE BLANCHE Taille 3 Logo IJM,,E010,HA03,,25.15,E010,
solide,catalogue_ijm_ligne_separee,,BLOUSE MIXTE BLANCHE Taille 4 Logo IJM,,E011,HA03,,25.15,E011,
solide,catalogue_ijm_ligne_separee,,BLOUSE MIXTE BLANCHE Taille 5 Logo IJM,,E0112,HA03,,25.15,E0112,
solide,catalogue_ijm_ligne_separee,,BLOUSE MIXTE BLANCHE Taille 6 Logo IJM,,E0113,HA03,,25.15,E0113,
solide,catalogue_ijm_ligne_separee,,BLOUSE CLARISSE Taille 4 (Bouton latéral),,E012T,HA03,,25.15,E012T,
solide,catalogue_ijm_ligne_separee,,TABLIER à BAVETTE,,E068,HA03,,5.96,E068,
solide,catalogue_ijm_ligne_separee,,MASQUE de PROTECTION Coquille en fibre de polyester,,E048A,HA02,,0.14,E048A,
solide,catalogue_ijm_ligne_separee,,MASQUE de PROTECTION CHIRURGICAUX (Boite x50),,E048B,HA02,,3.1,E048B,
solide,catalogue_ijm_ligne_separee,,MASQUE de PROTECTION Respiratoire filtrant FFP2 Particules toxiques,,E0481,HA02,,1.5,E0481,
solide,catalogue_ijm_ligne_separee,,MASQUE de PROTECTION Respiratoire filtrant FFP3 Aérosols toxiques,,E0482,HA02,,4.43,E0482,
solide,catalogue_ijm_ligne_separee,,MASQUE REUTILISABLE 3M 4279+ (Filtres ABEK 1P3 intégrés),,E0483,HA02,,32.92,E0483,
solide,catalogue_ijm_ligne_separee,,CASQUE Anti-Bruit 35dB,,D142,HA02,,22.29,D142,
solide,catalogue_ijm_ligne_separee,,LUNETTE de PROTECTION de BASE Mono-écran,,D120,HA05,,8.39,D120,
solide,catalogue_ijm_ligne_separee,,SUR-LUNETTE de PROTECTION,,D120A,HA05,,8.24,D120A,
solide,catalogue_ijm_ligne_separee,,ECRAN FACIAL de PROTECTION SS VISIERE POLYCARBONATE,CLEARWAYS,D140,HA05,,17.57,D140,
solide,catalogue_ijm_ligne_separee,,FILM ALUMINIUM 200mx30cm 14µ,ALUPRO,E002,AA41,,19.54,E002,
solide,catalogue_ijm_ligne_separee,,PAPIER de PROTECTION BENCHGUARD 60x49cm (100 feuilles),THERMO,D026,HA11,,109.7,D026,
solide,catalogue_ijm_ligne_separee,,PAPIER de PROTECTION Equivalent BENCHGUARD 46x57cm (100 feuilles),THERMO,D027,HA11,,37.75,D027,
solide,catalogue_ijm_ligne_separee_donnees_masse_conservees,,"PAPIER FILTRE blanc 42x52cm, Rame de 7 Kg",,D028,HA11,,28.53,D028,
solide,catalogue_ijm_ligne_separee,,FILTER PAPERS 1 Qualitative Circles Ø 55mm (x100),WHATMAN,D028A,HA11,,5.31,D028A,
solide,catalogue_ijm_ligne_separee,,PAPIER de CHROMATOGRAPHIE WHATMAN 3 MM CHR,WHATMAN,D032,HA11,,217.63,D032,
solide,catalogue_ijm_ligne_separee,,PAPIER de CHROMATOGRAPHIE Blotting MN 218B Type Whatman 3 MM CHR,MACHEREY-NAGEL,D032A,HA11,,185.46,D032A,
solide,catalogue_ijm_ligne_separee,,Papier d'essuyage KIMWIPPES 115x215mm (280 feuilles),,E046A,HA11,,5.65,E046A,
solide,catalogue_ijm_ligne_separee,,Papier d'essuyage OPTIQUE WHATMAN 100x150mm (25 f),WHATMAN,E046,HA11,,3.06,E046,
solide,catalogue_ijm_ligne_separee,,PARAFILM 10cmx75m,FISHER,D033,NB35,,42.94,D033,
solide,catalogue_ijm_ligne_separee,,FILM SARAN 300mx30cm,,D0192,NB35,,84.63,D0192,
solide,catalogue_ijm_ligne_separee,,FILM PRESS' N SEAL 40m,,D0194,NB35,,23.95,D0194,
solide,catalogue_ijm_ligne_separee,,FILMPRO Etirable 300mx30cm ou 300mx45cm,FILMPRO,D0195,NB35,,9.88,D0195,
solide,catalogue_ijm_ligne_separee,,Papier pH Whatman - BANDELETTES Gamme pH 0-14 (6x80mm) x100,WHATMAN,D029,NB35,,22.68,D029,
solide,catalogue_ijm_ligne_separee,,Papier pH Whatman - DISTRIBUTEUR Gamme pH 1.0-14.0 (7mmx5m),WHATMAN,D030,NB35,,15.62,D030,
solide,catalogue_ijm_ligne_separee,,BOITE à DÉCHETS 300ml (Aiguille usagée),,E0121,HA11,,2.21,E0121,
solide,catalogue_ijm_ligne_separee,,BOITE à DÉCHETS 2L (Objets contaminés),,E0132,HA11,,1.92,E0132,
