marque;produit;reference;type_composant;materiau;masse_g;diviseur
PROLABO;SODIUM HYDROGÉNOCARBONATE NP 1Kg;C056;product;(aucun);1000.0;1
PROLABO;SODIUM HYDROXYDE PASTILLES PA 1Kg;C059;product;(aucun);1000.0;1
PROLABO;TRI-SODIUM CITRATE NP1Kg;C058;product;(aucun);1000.0;1
PROLABO;URÉE NP 1Kg;C065;product;(aucun);1000.0;1
PROMEGA;PROTEINASE K 100mg;EM0082C;product;(aucun);0.1;1
ROCHE;DNase I 100mg (2 X 10 000u);EM0012;product;(aucun);0.1;1
ROCHE;PROTEINASE K, Recombinant, PCR Grade Lyophilizate 100mg;EM0082;product;(aucun);0.1;1
ROCHE;RNase A 100mg;EM0092;product;(aucun);0.1;1
RÉGILAIT;LAIT ÉCRÉMÉ 300 grs (Pour saturer les membranes de transfert);D0251;product;(aucun);300.0;1
Starlab;1 000 µl Pointe graduée TipOne®, Bleu;S1111-6811-C;product;Polypropylène (PP);0.547;1
Starlab;1 000 µl Pointe non graduée TipOne® Filtre, Naturel (stérile);S1126-7710-C;product;Polypropylène (PP);0.83;1
Starlab;200 µl Pointe TipOne®, Naturel;S1111-0810-C;product;Polypropylène (PP);0.28;1
Starlab;Serological pipette 5 mL individually wrapped;E4860-0005;product;Verre;7.9;1
TPP;TPP Tissue Culture Dish 100;93100;primary_packaging;(aucun);8.856;10
TPP;TPP Tissue Culture Dish 100;93100;product;Polystyrène (PS);24.2251;1
TPP;TPP Tissue Culture Dish 100;93100;secondary_packaging;(aucun);0.0;1
TPP;TPP Tissue Culture Dish 60;93060;primary_packaging;Carton;88.61;100
TPP;TPP Tissue Culture Dish 60;93060;product;Polypropylène (PP);2.151;1
TPP;TPP Tissue Culture Dish 60;93060;secondary_packaging;(aucun);0.575;1
Terumo;Seringue 5 mL;1SS05LE1;product;Polypropylène (PP);1.9;1
ThermoScentific;Dropper Bottle, LDPE with white closure 15ml;2750-9050;primary_packaging;Carton;2.788;25
ThermoScentific;Dropper Bottle, LDPE with white closure 15ml;2750-9050;product;(aucun);3.74;1
ThermoScentific;Dropper Bottle, LDPE with white closure 15ml;2750-9050;product;Polyéthylène (PE);1.52;1
ThermoScentific;Dropper Bottle, LDPE with white closure 15ml;2750-9050;product;(aucun);0.423;1
ThermoScentific;Dropper Bottle, LDPE with white closure 15ml;2750-9050;secondary_packaging;Polyéthylène (PE);0.992;1
VWR;AGAR AGAR TECHNICAL 5Kg;C071;product;(aucun);25000.0;1
VWR;DI-SODIUM HYDROGENOPHOSPHATE PA 1Kg;C061;product;(aucun);1000.0;1
