code_nacres,designation,code_ijm,prix_ht,condt,nb_unites,prix_unitaire,marque,page
NB51,PINCE INOX pour FILTRES-MEMBRANES à bout plat,D039A,21.89,1,1,21.89,,15
NB51,PINCE en BOIS 250mm,D042,3.54,1,1,3.54,,15
NB51,CISEAUX à DISSECTION FIN COURBÉE 11cm Bout pointue,D009,7.93,1,1,7.93,,15
NB51,CISEAUX à DISSECTION COURBÉE 14cm Bout pointue/arrondie,D010,7.89,1,1,7.89,,15
NB51,CISEAUX à DISSECTION DROIT 14cm Bout pointue/pointue,D011,4.6,1,1,4.6,,15
NB51,CISEAUX à DISSECTION FIN DROIT 11cm Bout pointue,D012,6.54,1,1,6.54,,15
NB51,CISEAUX ULTRA-FINS DROIT 12cm Bout pointue/arrondie,D014,24.89,1,1,24.89,,15
NB51,CISEAUX ULTRA-FINS COURBÉE 12cm Bout pointue/pointue,D015,26.56,1,1,26.56,,15
KE12,MANCHE N°4 pour LAME N°23,D048,5.86,1,1,5.86,,15
KE12,MANCHE N°3 pour LAME N°11,D048A,4.96,1,1,4.96,,15
KE13,LAMES STÉRILES N°23 (Bte de 100),D049,8.01,1x100,100,0.0801,,15
KE13,LAMES STÉRILES N°11 (Bte de 100),D049B,8.03,1x100,100,0.0803,,15
KE13,SCALPELS JETABLES STÉRILES N°23,D046,4.39,1x10,10,0.439,,15
KE13,SCALPELS JETABLES STÉRILES N°11,D046A,4.39,1x10,10,0.439,,15
KE13,LAME GILETTE BLEUE EXTRA (x10),D047,4.42,1x10,10,0.442,,15
NB43,BECHER PMP Graduée 100ml,P001,1.99,1,1,1.99,FISHER,16
NB43,BECHER PMP Graduée 250ml,P002,3.02,1,1,3.02,FISHER,16
NB43,BECHER PMP Graduée 600ml,P003,5.56,1,1,5.56,FISHER,16
NB43,BECHER PMP Graduée 1000ml,P004,6.74,1,1,6.74,FISHER,16
NB43,BECHER PMP Graduée 2000ml,P005,19.09,1,1,19.09,FISHER,16
NB43,BECHER PMP Graduée 5000ml,P006,28.14,1,1,28.14,FISHER,16
NB43,ENTONNOIR HDPE Diam 80mm,P022,0.77,1,1,0.77,DUTSCHER,16
NB43,ENTONNOIR HDPE Diam 140mm,P023,2.09,1,1,2.09,DUTSCHER,16
NB43,ENTONNOIR HDPE Diam 180mm,P024,3.32,1,1,3.32,DUTSCHER,16
NB43,EPROUVETTE TPX Graduée 10ml,P025,1.07,1,1,1.07,DUTSCHER,16
NB43,EPROUVETTE TPX Graduée 25ml,P026,1.53,1,1,1.53,DUTSCHER,16
NB43,EPROUVETTE TPX Graduée 50ml,P027,2.14,1,1,2.14,DUTSCHER,16
NB43,EPROUVETTE TPX Graduée 100ml,P028,3.22,1,1,3.22,DUTSCHER,16
NB43,EPROUVETTE TPX Graduée 250ml,P029,7.54,1,1,7.54,DUTSCHER,16
NB43,EPROUVETTE TPX Graduée 500ml,P030,9.15,1,1,9.15,DUTSCHER,16
NB43,EPROUVETTE TPX Graduée 1L,P031,12.84,1,1,12.84,DUTSCHER,16
NB43,EPROUVETTE TPX Graduée 2L,P032,43.28,1,1,43.28,DUTSCHER,16
NB43,RESERVOIR à REACTIFS 50ml STERILE CLEARLINE (x100),P152,51.84,1x100,100,0.5184,CLEARLINE,16
NB35,NACELLES de PESÉE Carrée 44x44mm (x250),D024C,9.48,1x250,250,0.03792,FISHER,16
NB35,NACELLES de PESÉE Carrée 84x84mm (x250),D025C,16.91,1x250,250,0.06764,FISHER,16
NB35,NACELLES de PESÉE Carrée 140x140mm (x250),D025D,19.58,1x250,250,0.07832,FISHER,16
NB51,BONBONNE en Polyéthylène 10 litres avec robinet,P008,28.19,1,1,28.19,VWR,16
NB51,BONBONNE en Polyéthylène 30 litres avec robinet,P009,59.2,1,1,59.2,VWR,16
NB51,FLACON COMPTE-GOUTTE 15ml (Pour huile à immersion),EA134,1.48,1,1,1.48,DUTSCHER,16
NB51,FLACON VAPORISATEUR 500ml,P067A,5.69,1,1,5.69,FISHER,16
BB02,CUVETTE PLASTIQUE CARREE 2L HDPE,E021A,4.98,1,1,4.98,,16
BB02,"CUVETTE PLASTIQUE CARREE 4,5L",E021,7.52,1,1,7.52,,16
BB02,CUVETTE PLASTIQUE CARREE 7L,E022,12.36,1,1,12.36,,16
BB02,CUVETTE PLASTIQUE CARREE 12L,E023,15.54,1,1,15.54,,16
BB02,CUVETTE PLASTIQUE CARREE 30L,E024,61.67,1,1,61.67,,16
BB02,CUVETTE PLASTIQUE CARREE 45L,E025,48.41,1,1,48.41,,16
BB02,SEAU PLASTIQUE 14L,E064,5.4,1,1,5.4,,16
NB43,PISSETTE 125ml,P064A,1.77,1,1,1.77,VWR,16
NB43,PISSETTE Col large 250ml Jaune,P065A,2.82,1,1,2.82,VWR,16
NB43,PISSETTE Col large 500ml Rouge,P066A,3.06,1,1,3.06,VWR,16
NB43,PISSETTE Col large 1000ml Bleue,P067,5.48,1,1,5.48,DUTSCHER,16
NB43,BOITE à STÉRILISER (Pipette en verre) 295x65x65mm,D130,72.04,1,1,72.04,,16
NB01,"MICROPIPETTE ""EPPENDORF"" Research PLUS 0,1-2,5µl",EA051,276.51,1,1,276.51,EPPENDORF,17
NB01,"MICROPIPETTE ""EPPENDORF"" Research PLUS 0,5-10µl",EA052,276.51,1,1,276.51,EPPENDORF,17
